WKN;ARIVA_NAME;JAHR;JAHRES_UEBERSCHUSS;KGV
692500;pittler_maschinenfabrik-aktie;2020;0 €;-
692500;pittler_maschinenfabrik-aktie;2021;2 €;3,80
692500;pittler_maschinenfabrik-aktie;2022;-;-
ZDWT01;zhongde_waste_technology-aktie;2013;-8 €;-
ZDWT01;zhongde_waste_technology-aktie;2014;-1 €;-
ZDWT01;zhongde_waste_technology-aktie;2015;-16 €;-
ZDWT01;zhongde_waste_technology-aktie;2016;65 €;0,30
ZDWT01;zhongde_waste_technology-aktie;2017;-;-
ZDWT01;zhongde_waste_technology-aktie;2018;-;-
ZDWT01;zhongde_waste_technology-aktie;2019;-;-
A0MJ3Y;se_swiss_estates_ps-aktie;2016;-2 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2017;2 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2018;-1 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2019;1 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2020;3 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2021;9 CHF;-
A0MJ3Y;se_swiss_estates_ps-aktie;2022;-;-
A1K03W;nexr_technologies-aktie;2016;46 €;-
A1K03W;nexr_technologies-aktie;2017;-44 €;-
A1K03W;nexr_technologies-aktie;2018;-22 €;-
A1K03W;nexr_technologies-aktie;2019;-13 €;-
A1K03W;nexr_technologies-aktie;2020;-12 €;-
A1K03W;nexr_technologies-aktie;2021;-15 €;-
A1K03W;nexr_technologies-aktie;2022;-;-
A0L1NQ;german_values_property_group-aktie;2015;-1 €;-
A0L1NQ;german_values_property_group-aktie;2016;1 €;5,50
A0L1NQ;german_values_property_group-aktie;2017;-2 €;-
A0L1NQ;german_values_property_group-aktie;2018;1 €;2,70
A0L1NQ;german_values_property_group-aktie;2019;-1 €;-
A0L1NQ;german_values_property_group-aktie;2020;-2 €;-
A0L1NQ;german_values_property_group-aktie;2021;-;-
A16130;kst_beteiligungen-aktie;2015;2 €;10
A16130;kst_beteiligungen-aktie;2016;1 €;17,10
A16130;kst_beteiligungen-aktie;2017;1 €;8,70
A16130;kst_beteiligungen-aktie;2018;0 €;25,20
A16130;kst_beteiligungen-aktie;2019;0 €;21,80
A16130;kst_beteiligungen-aktie;2020;0 €;-
A16130;kst_beteiligungen-aktie;2021;-;-
A2DA40;lehner_investments-aktie;2016;0 €;-
A2DA40;lehner_investments-aktie;2017;-2 €;-
A2DA40;lehner_investments-aktie;2018;0 €;-
A2DA40;lehner_investments-aktie;2019;0 €;-
A2DA40;lehner_investments-aktie;2020;0 €;162
A2DA40;lehner_investments-aktie;2021;2 €;28,40
A2DA40;lehner_investments-aktie;2022;-;-
A2AACF;starcore_international_mines-aktie;2016;7 CA$;-
A2AACF;starcore_international_mines-aktie;2017;-12 CA$;-
A2AACF;starcore_international_mines-aktie;2018;-12 CA$;-
A2AACF;starcore_international_mines-aktie;2019;-4 CA$;-
A2AACF;starcore_international_mines-aktie;2020;3 CA$;-
A2AACF;starcore_international_mines-aktie;2021;2 CA$;-
A2AACF;starcore_international_mines-aktie;2022;-;-
A11QU1;dci-aktie;2016;0 €;14,60
A11QU1;dci-aktie;2017;0 €;-
A11QU1;dci-aktie;2018;1 €;2,30
A11QU1;dci-aktie;2019;0 €;20,60
A11QU1;dci-aktie;2020;0 €;10,20
A11QU1;dci-aktie;2021;1 €;7
A11QU1;dci-aktie;2022;-;-
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2016;-29 €;-30,25
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2017;-19 €;-61,54
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2018;-25 €;-53,33
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2019;-19 €;-31,05
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2020;-8 €;-56,56
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2021;-1 €;-550
A1X3WW;khd_humboldt_wedag_vermoegensverwaltung-aktie;2022;-;-
A0BVVK;deutsche_cannabis-aktie;2014;-;-
A0BVVK;deutsche_cannabis-aktie;2015;0 €;-
A0BVVK;deutsche_cannabis-aktie;2016;0 €;363,60
A0BVVK;deutsche_cannabis-aktie;2017;0 €;-
A0BVVK;deutsche_cannabis-aktie;2018;-1 €;-
A0BVVK;deutsche_cannabis-aktie;2019;-;-
A0BVVK;deutsche_cannabis-aktie;2020;-;-
A2QQQU;tmc_content_group-aktie;2016;2 €;7,10
A2QQQU;tmc_content_group-aktie;2017;4 €;2,90
A2QQQU;tmc_content_group-aktie;2018;-1 €;-
A2QQQU;tmc_content_group-aktie;2019;-4 €;-
A2QQQU;tmc_content_group-aktie;2020;-2 €;-
A2QQQU;tmc_content_group-aktie;2021;-2 €;-
A2QQQU;tmc_content_group-aktie;2022;-;-
520958;artec_technologies-aktie;2016;0 €;-
520958;artec_technologies-aktie;2017;-1 €;-
520958;artec_technologies-aktie;2018;0 €;-
520958;artec_technologies-aktie;2019;-1 €;-7,62
520958;artec_technologies-aktie;2020;0 €;66,33
520958;artec_technologies-aktie;2021;0 €;-40,67
520958;artec_technologies-aktie;2022;-;-
A2PNFY;bevcanna_enterprises-aktie;2015;-;-
A2PNFY;bevcanna_enterprises-aktie;2016;-;-
A2PNFY;bevcanna_enterprises-aktie;2017;-;-
A2PNFY;bevcanna_enterprises-aktie;2018;-7 CA$;-
A2PNFY;bevcanna_enterprises-aktie;2019;-10 CA$;-
A2PNFY;bevcanna_enterprises-aktie;2020;-14 CA$;-
A2PNFY;bevcanna_enterprises-aktie;2021;-;-
A0XFWK;shs_viveon-aktie;2016;0 €;-
A0XFWK;shs_viveon-aktie;2017;0 €;-
A0XFWK;shs_viveon-aktie;2018;0 €;-
A0XFWK;shs_viveon-aktie;2019;1 €;-
A0XFWK;shs_viveon-aktie;2020;1 €;-
A0XFWK;shs_viveon-aktie;2021;0 €;-
A0XFWK;shs_viveon-aktie;2022;-;-
A1PG50;fast_finance24_holding-aktie;2016;-5 €;-2,13
A1PG50;fast_finance24_holding-aktie;2017;0 €;-14
A1PG50;fast_finance24_holding-aktie;2018;-1 €;-17,30
A1PG50;fast_finance24_holding-aktie;2019;0 €;-
A1PG50;fast_finance24_holding-aktie;2020;0 €;-
A1PG50;fast_finance24_holding-aktie;2021;-;-
A1PG50;fast_finance24_holding-aktie;2022;-;-
A1E8G8;vivanco_gruppe-aktie;2016;7 €;1,50
A1E8G8;vivanco_gruppe-aktie;2017;6 €;3,80
A1E8G8;vivanco_gruppe-aktie;2018;2 €;9
A1E8G8;vivanco_gruppe-aktie;2019;1 €;19,40
A1E8G8;vivanco_gruppe-aktie;2020;0 €;-
A1E8G8;vivanco_gruppe-aktie;2021;-1 €;-
A1E8G8;vivanco_gruppe-aktie;2022;-;-
HNC205;camerit-aktie;2016;-1 €;-
HNC205;camerit-aktie;2017;0 €;-
HNC205;camerit-aktie;2018;0 €;-
HNC205;camerit-aktie;2019;-1 €;-
HNC205;camerit-aktie;2020;6 €;0,70
HNC205;camerit-aktie;2021;0 €;46,50
HNC205;camerit-aktie;2022;-;-
A2PPX6;plus_therapeutics-aktie;2016;-22 $;-
A2PPX6;plus_therapeutics-aktie;2017;-23 $;-
A2PPX6;plus_therapeutics-aktie;2018;-13 $;-
A2PPX6;plus_therapeutics-aktie;2019;-11 $;-0,85
A2PPX6;plus_therapeutics-aktie;2020;-8 $;-1,08
A2PPX6;plus_therapeutics-aktie;2021;-13 $;-1,04
A2PPX6;plus_therapeutics-aktie;2022;-20 $;-0,41
696780;pro_dv-aktie;2016;0 €;26,45
696780;pro_dv-aktie;2017;0 €;39,70
696780;pro_dv-aktie;2018;0 €;10,20
696780;pro_dv-aktie;2019;0 €;32
696780;pro_dv-aktie;2020;0 €;-
696780;pro_dv-aktie;2021;0 €;-
696780;pro_dv-aktie;2022;-;-
A2LQ72;ming_le_sports_neu-aktie;2015;0 €;-
A2LQ72;ming_le_sports_neu-aktie;2016;0 €;-
A2LQ72;ming_le_sports_neu-aktie;2017;0 €;-
A2LQ72;ming_le_sports_neu-aktie;2018;-1 €;-
A2LQ72;ming_le_sports_neu-aktie;2019;0 €;22,10
A2LQ72;ming_le_sports_neu-aktie;2020;0 €;24,80
A2LQ72;ming_le_sports_neu-aktie;2021;0 €;-
A1YDAZ;clean_logistics-aktie;2016;2 €;-
A1YDAZ;clean_logistics-aktie;2017;4 €;-
A1YDAZ;clean_logistics-aktie;2018;0 €;-
A1YDAZ;clean_logistics-aktie;2019;0 €;-
A1YDAZ;clean_logistics-aktie;2020;1 €;-
A1YDAZ;clean_logistics-aktie;2021;-2 €;-42,81
A1YDAZ;clean_logistics-aktie;2022;-;-
627500;arcandor-aktie;2004;-1.631 €;-
627500;arcandor-aktie;2005;-317 €;-
627500;arcandor-aktie;2006;346 €;12,80
627500;arcandor-aktie;2007;16 €;293,50
627500;arcandor-aktie;2008;-746 €;-
627500;arcandor-aktie;2009;-;-
627500;arcandor-aktie;2010;-;-
A0H1GY;marna_beteiligungen-aktie;2015;-24 €;-
A0H1GY;marna_beteiligungen-aktie;2016;-13 €;-
A0H1GY;marna_beteiligungen-aktie;2017;43 €;0,10
A0H1GY;marna_beteiligungen-aktie;2018;-1 €;-
A0H1GY;marna_beteiligungen-aktie;2019;0 €;-
A0H1GY;marna_beteiligungen-aktie;2020;0 €;-
A0H1GY;marna_beteiligungen-aktie;2021;-;-
A2DAN1;softline-aktie;2016;-1 €;-4,83
A2DAN1;softline-aktie;2017;1 €;23,83
A2DAN1;softline-aktie;2018;0 €;25,36
A2DAN1;softline-aktie;2019;1 €;16,79
A2DAN1;softline-aktie;2020;0 €;48,89
A2DAN1;softline-aktie;2021;0 €;-80,50
A2DAN1;softline-aktie;2022;-;-
A0KFKH;elexxion-aktie;2016;1 €;4,28
A0KFKH;elexxion-aktie;2017;-1 €;-4
A0KFKH;elexxion-aktie;2018;-1 €;-6
A0KFKH;elexxion-aktie;2019;-1 €;-3,55
A0KFKH;elexxion-aktie;2020;-1 €;-4,71
A0KFKH;elexxion-aktie;2021;0 €;-8,75
A0KFKH;elexxion-aktie;2022;-;-
A1YCMM;solarworld-aktie;2011;-299 €;-
A1YCMM;solarworld-aktie;2012;-477 €;-
A1YCMM;solarworld-aktie;2013;-228 €;-
A1YCMM;solarworld-aktie;2014;464 €;0,40
A1YCMM;solarworld-aktie;2015;-33 €;-
A1YCMM;solarworld-aktie;2016;-92 €;-
A1YCMM;solarworld-aktie;2017;-;-
A2H5RL;delta_technologi-aktie;2014;2.520 HUF;-
A2H5RL;delta_technologi-aktie;2015;-;-
A2H5RL;delta_technologi-aktie;2016;-;-
A2H5RL;delta_technologi-aktie;2017;-;-
A2H5RL;delta_technologi-aktie;2018;-;-
A2H5RL;delta_technologi-aktie;2019;-;-
A2H5RL;delta_technologi-aktie;2020;-;-
A3E5E6;homes_holiday-aktie;2016;-;-
A3E5E6;homes_holiday-aktie;2017;-;-
A3E5E6;homes_holiday-aktie;2018;-4 €;-
A3E5E6;homes_holiday-aktie;2019;-2 €;-
A3E5E6;homes_holiday-aktie;2020;-2 €;-
A3E5E6;homes_holiday-aktie;2021;0 €;17,36
A3E5E6;homes_holiday-aktie;2022;-;-
810310;webac_holding-aktie;2016;0 €;16,70
810310;webac_holding-aktie;2017;-1 €;-
810310;webac_holding-aktie;2018;0 €;90,60
810310;webac_holding-aktie;2019;0 €;146,70
810310;webac_holding-aktie;2020;0 €;-
810310;webac_holding-aktie;2021;0 €;-
810310;webac_holding-aktie;2022;-;-
A2AFBU;isc_business_technology-aktie;2016;0 CHF;95,90
A2AFBU;isc_business_technology-aktie;2017;0 CHF;60,80
A2AFBU;isc_business_technology-aktie;2018;0 CHF;43,20
A2AFBU;isc_business_technology-aktie;2019;0 CHF;248,70
A2AFBU;isc_business_technology-aktie;2020;0 CHF;38,90
A2AFBU;isc_business_technology-aktie;2021;0 CHF;53,30
A2AFBU;isc_business_technology-aktie;2022;-;-
A2AKAU;talkpool-aktie;2015;-;-
A2AKAU;talkpool-aktie;2016;-;-
A2AKAU;talkpool-aktie;2017;-;-
A2AKAU;talkpool-aktie;2018;-;-
A2AKAU;talkpool-aktie;2019;-3 €;-
A2AKAU;talkpool-aktie;2020;-1 €;-
A2AKAU;talkpool-aktie;2021;-;-
A0N3EU;l_konzept_holding-aktie;2015;0 €;-
A0N3EU;l_konzept_holding-aktie;2016;2 €;3,40
A0N3EU;l_konzept_holding-aktie;2017;0 €;-
A0N3EU;l_konzept_holding-aktie;2018;-1 €;-
A0N3EU;l_konzept_holding-aktie;2019;0 €;-
A0N3EU;l_konzept_holding-aktie;2020;0 €;10,50
A0N3EU;l_konzept_holding-aktie;2021;0 €;39,60
549060;spobag-aktie;2015;-1 €;-
549060;spobag-aktie;2016;0 €;-
549060;spobag-aktie;2017;0 €;-
549060;spobag-aktie;2018;0 €;-
549060;spobag-aktie;2019;0 €;-
549060;spobag-aktie;2020;0 €;-
549060;spobag-aktie;2021;-;-
A1R1C8;panamax-aktie;2015;0 €;-
A1R1C8;panamax-aktie;2016;0 €;-
A1R1C8;panamax-aktie;2017;-1 €;-
A1R1C8;panamax-aktie;2018;0 €;-
A1R1C8;panamax-aktie;2019;0 €;-
A1R1C8;panamax-aktie;2020;0 €;12,10
A1R1C8;panamax-aktie;2021;-;-
760010;valora_effekten_handel-aktie;2015;0 €;32,70
760010;valora_effekten_handel-aktie;2016;0 €;36,10
760010;valora_effekten_handel-aktie;2017;0 €;19
760010;valora_effekten_handel-aktie;2018;0 €;-
760010;valora_effekten_handel-aktie;2019;0 €;-
760010;valora_effekten_handel-aktie;2020;0 €;-
760010;valora_effekten_handel-aktie;2021;-;-
552932;new_value-aktie;2016;-1 CHF;-
552932;new_value-aktie;2017;-2 CHF;-
552932;new_value-aktie;2018;-2 CHF;-
552932;new_value-aktie;2019;-4 CHF;-0,72
552932;new_value-aktie;2020;0 CHF;-3,40
552932;new_value-aktie;2021;-;-
552932;new_value-aktie;2022;-;-
A2QQMA;kore_mining_ltd-aktie;2016;-1 CA$;-
A2QQMA;kore_mining_ltd-aktie;2017;-1 CA$;-
A2QQMA;kore_mining_ltd-aktie;2018;-5 CA$;-
A2QQMA;kore_mining_ltd-aktie;2019;-2 CA$;-
A2QQMA;kore_mining_ltd-aktie;2020;-9 CA$;-
A2QQMA;kore_mining_ltd-aktie;2021;0 CA$;-
A2QQMA;kore_mining_ltd-aktie;2022;-;-
A2H62U;spark_netw_sp_adr-aktie;2016;1 $;-
A2H62U;spark_netw_sp_adr-aktie;2017;-7 $;-
A2H62U;spark_netw_sp_adr-aktie;2018;-4 $;-31,52
A2H62U;spark_netw_sp_adr-aktie;2019;-17 $;-0,69
A2H62U;spark_netw_sp_adr-aktie;2020;-47 $;-0,30
A2H62U;spark_netw_sp_adr-aktie;2021;-68 $;-1,18
A2H62U;spark_netw_sp_adr-aktie;2022;-;-
A2PAA5;iq_international-aktie;2015;-3 CHF;-
A2PAA5;iq_international-aktie;2016;-4 CHF;-
A2PAA5;iq_international-aktie;2017;-2 CHF;-
A2PAA5;iq_international-aktie;2018;-27 CHF;-
A2PAA5;iq_international-aktie;2019;-;-
A2PAA5;iq_international-aktie;2020;-;-
A2PAA5;iq_international-aktie;2021;-;-
761210;goingpublic_media-aktie;2015;0 €;-
761210;goingpublic_media-aktie;2016;1 €;-
761210;goingpublic_media-aktie;2017;0 €;-
761210;goingpublic_media-aktie;2018;0 €;-
761210;goingpublic_media-aktie;2019;0 €;-
761210;goingpublic_media-aktie;2020;0 €;-
761210;goingpublic_media-aktie;2021;0 €;-
784730;ymos-aktie;2011;-;-
784730;ymos-aktie;2012;-;-
784730;ymos-aktie;2013;-;-
784730;ymos-aktie;2014;-;-
784730;ymos-aktie;2015;-;-
784730;ymos-aktie;2016;-;-
784730;ymos-aktie;2017;-;-
A1E89S;readcrest_capital-aktie;2015;0 €;-
A1E89S;readcrest_capital-aktie;2016;0 €;4,20
A1E89S;readcrest_capital-aktie;2017;0 €;-
A1E89S;readcrest_capital-aktie;2018;0 €;-
A1E89S;readcrest_capital-aktie;2019;0 €;-
A1E89S;readcrest_capital-aktie;2020;0 €;-
A1E89S;readcrest_capital-aktie;2021;-;-
928449;perfect_holding-aktie;2015;-2 CHF;-
928449;perfect_holding-aktie;2016;-1 CHF;-
928449;perfect_holding-aktie;2017;0 CHF;-
928449;perfect_holding-aktie;2018;-1 CHF;-
928449;perfect_holding-aktie;2019;-1 CHF;-
928449;perfect_holding-aktie;2020;0 CHF;-
928449;perfect_holding-aktie;2021;0 CHF;-
A1A6WB;philomaxcap_ag-aktie;2015;0 €;-
A1A6WB;philomaxcap_ag-aktie;2016;0 €;-
A1A6WB;philomaxcap_ag-aktie;2017;0 €;-
A1A6WB;philomaxcap_ag-aktie;2018;-1 €;-
A1A6WB;philomaxcap_ag-aktie;2019;-1 €;-
A1A6WB;philomaxcap_ag-aktie;2020;0 €;307,70
A1A6WB;philomaxcap_ag-aktie;2021;0 €;-
A3E5C0;co_don-aktie;2016;-4 €;-
A3E5C0;co_don-aktie;2017;-7 €;-
A3E5C0;co_don-aktie;2018;-6 €;-
A3E5C0;co_don-aktie;2019;-13 €;-
A3E5C0;co_don-aktie;2020;-14 €;-
A3E5C0;co_don-aktie;2021;-9 €;-
A3E5C0;co_don-aktie;2022;-;-
745880;tiscon-aktie;2004;-1 €;-
745880;tiscon-aktie;2005;-3 €;-
745880;tiscon-aktie;2006;0 €;61,50
745880;tiscon-aktie;2007;-4 €;-
745880;tiscon-aktie;2008;-2 €;-
745880;tiscon-aktie;2009;-;-
745880;tiscon-aktie;2010;-;-
A0WMNK;vapiano-aktie;2014;7 €;-
A0WMNK;vapiano-aktie;2015;1 €;-
A0WMNK;vapiano-aktie;2016;-1 €;-
A0WMNK;vapiano-aktie;2017;-28 €;-
A0WMNK;vapiano-aktie;2018;-93 €;-
A0WMNK;vapiano-aktie;2019;-;-
A0WMNK;vapiano-aktie;2020;-;-
A0WMJQ;elanix_biotechnologies-aktie;2013;0 €;-
A0WMJQ;elanix_biotechnologies-aktie;2014;0 €;-
A0WMJQ;elanix_biotechnologies-aktie;2015;-10 €;-
A0WMJQ;elanix_biotechnologies-aktie;2016;-2 €;-
A0WMJQ;elanix_biotechnologies-aktie;2017;-4 €;-
A0WMJQ;elanix_biotechnologies-aktie;2018;-4 €;-
A0WMJQ;elanix_biotechnologies-aktie;2019;-;-
A2E377;sleepz-aktie;2014;0 €;-
A2E377;sleepz-aktie;2015;-3 €;-
A2E377;sleepz-aktie;2016;-10 €;-
A2E377;sleepz-aktie;2017;-4 €;-
A2E377;sleepz-aktie;2018;-;-
A2E377;sleepz-aktie;2019;-;-
A2E377;sleepz-aktie;2020;-;-
SGU888;sino_german_united-aktie;2016;-1 €;-
SGU888;sino_german_united-aktie;2017;0 €;-
SGU888;sino_german_united-aktie;2018;0 €;-
SGU888;sino_german_united-aktie;2019;0 €;-
SGU888;sino_german_united-aktie;2020;0 €;-
SGU888;sino_german_united-aktie;2021;0 €;53,30
SGU888;sino_german_united-aktie;2022;-;-
745420;tc_unterhaltungselektronik-aktie;2015;0 €;-
745420;tc_unterhaltungselektronik-aktie;2016;0 €;294,10
745420;tc_unterhaltungselektronik-aktie;2017;0 €;-
745420;tc_unterhaltungselektronik-aktie;2018;0 €;-
745420;tc_unterhaltungselektronik-aktie;2019;0 €;157,90
745420;tc_unterhaltungselektronik-aktie;2020;0 €;2,80
745420;tc_unterhaltungselektronik-aktie;2021;0 €;-
WNDL30;windeln_de-aktie;2016;-42 €;-
WNDL30;windeln_de-aktie;2017;-38 €;-
WNDL30;windeln_de-aktie;2018;-38 €;-
WNDL30;windeln_de-aktie;2019;-15 €;-
WNDL30;windeln_de-aktie;2020;-14 €;-
WNDL30;windeln_de-aktie;2021;-14 €;-
WNDL30;windeln_de-aktie;2022;-;-
865880;unbound_group-aktie;2015;311 £;3,80
865880;unbound_group-aktie;2016;532 £;3,20
865880;unbound_group-aktie;2017;172 £;3,70
865880;unbound_group-aktie;2018;-50 £;-
865880;unbound_group-aktie;2019;32 £;4
865880;unbound_group-aktie;2020;-60 £;-
865880;unbound_group-aktie;2021;-;-
755140;erotik_abwicklungsgesellschaft-aktie;2010;-68 €;-
755140;erotik_abwicklungsgesellschaft-aktie;2011;-8 €;-
755140;erotik_abwicklungsgesellschaft-aktie;2012;-1 €;-
755140;erotik_abwicklungsgesellschaft-aktie;2013;4 €;16,80
755140;erotik_abwicklungsgesellschaft-aktie;2014;3 €;20,30
755140;erotik_abwicklungsgesellschaft-aktie;2015;-18 €;-
755140;erotik_abwicklungsgesellschaft-aktie;2016;-;-
661471;solar_fabrik-aktie;2010;8 €;7,20
661471;solar_fabrik-aktie;2011;-4 €;-
661471;solar_fabrik-aktie;2012;-22 €;-
661471;solar_fabrik-aktie;2013;-7 €;-
661471;solar_fabrik-aktie;2014;-;-
661471;solar_fabrik-aktie;2015;-;-
661471;solar_fabrik-aktie;2016;-;-
507090;fritz_nols-aktie;2012;0 €;-
507090;fritz_nols-aktie;2013;0 €;-
507090;fritz_nols-aktie;2014;0 €;-
507090;fritz_nols-aktie;2015;0 €;195
507090;fritz_nols-aktie;2016;-;-
507090;fritz_nols-aktie;2017;-;-
507090;fritz_nols-aktie;2018;-;-
A0JL46;itn_nanovation-aktie;2015;-6 €;-
A0JL46;itn_nanovation-aktie;2016;-6 €;-
A0JL46;itn_nanovation-aktie;2017;0 €;-
A0JL46;itn_nanovation-aktie;2018;-4 €;-
A0JL46;itn_nanovation-aktie;2019;-;-
A0JL46;itn_nanovation-aktie;2020;-;-
A0JL46;itn_nanovation-aktie;2021;-;-
A1XE2N;mccolls_re_gr_wi-aktie;2015;16 £;8,90
A1XE2N;mccolls_re_gr_wi-aktie;2016;14 £;14,50
A1XE2N;mccolls_re_gr_wi-aktie;2017;14 £;21,40
A1XE2N;mccolls_re_gr_wi-aktie;2018;7 £;9,40
A1XE2N;mccolls_re_gr_wi-aktie;2019;-96 £;-
A1XE2N;mccolls_re_gr_wi-aktie;2020;-3 £;-
A1XE2N;mccolls_re_gr_wi-aktie;2021;-;-
A0F5UQ;openlimit-aktie;2015;0 €;41,20
A0F5UQ;openlimit-aktie;2016;-9 €;-
A0F5UQ;openlimit-aktie;2017;-3 €;-
A0F5UQ;openlimit-aktie;2018;-1 €;-
A0F5UQ;openlimit-aktie;2019;-2 €;-
A0F5UQ;openlimit-aktie;2020;-;-
A0F5UQ;openlimit-aktie;2021;-;-
502130;neschen-aktie;2010;-3 €;-
502130;neschen-aktie;2011;-1 €;-
502130;neschen-aktie;2012;-5 €;-
502130;neschen-aktie;2013;-9 €;-
502130;neschen-aktie;2014;-;-
502130;neschen-aktie;2015;-;-
502130;neschen-aktie;2016;-;-
A0V9L9;eyemaxx_real_estate-aktie;2015;4 €;4,60
A0V9L9;eyemaxx_real_estate-aktie;2016;6 €;6,60
A0V9L9;eyemaxx_real_estate-aktie;2017;7 €;7,80
A0V9L9;eyemaxx_real_estate-aktie;2018;7 €;7
A0V9L9;eyemaxx_real_estate-aktie;2019;6 €;8,80
A0V9L9;eyemaxx_real_estate-aktie;2020;-26 €;-
A0V9L9;eyemaxx_real_estate-aktie;2021;-;-
A0JKHG;gwb_immobilien-aktie;2005;1 €;-
A0JKHG;gwb_immobilien-aktie;2006;2 €;15,60
A0JKHG;gwb_immobilien-aktie;2007;7 €;7,30
A0JKHG;gwb_immobilien-aktie;2008;2 €;6,70
A0JKHG;gwb_immobilien-aktie;2009;-9 €;-
A0JKHG;gwb_immobilien-aktie;2010;-3 €;-
A0JKHG;gwb_immobilien-aktie;2011;-;-
